Ref,Val,Package,PosX,PosY,Rot,Side
"C6","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",170.792500,-90.870000,0.000000,top
"C7","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",161.960000,-98.230000,90.000000,top
"C8","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",161.960000,-102.880000,-90.000000,top
"C9","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",163.550000,-88.720000,-90.000000,top
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",165.650000,-88.720000,-90.000000,top
"C11","100pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",176.620000,-85.610000,0.000000,top
"C18","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",189.310000,-93.390000,-90.000000,top
"C19","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",189.310000,-84.840000,-90.000000,top
"D1","LED","LED_0805_2012Metric",158.650000,-120.300000,0.000000,top
"D2","LED","LED_0805_2012Metric",158.650000,-123.300000,0.000000,top
"D3","SS34","SS34",170.900000,-93.530000,180.000000,top
"D4","MM3Z10V","MM3Z10VT1G",161.090000,-80.060000,90.000000,top
"D5","LED","LED_0805_2012Metric",158.650000,-117.300000,0.000000,top
"F1","0.5A","Fuseholder_Clip-5x20mm_Littelfuse_111_Inline_P20.00x5.00mm_D1.05mm_Horizontal",159.650000,-71.300000,-90.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",198.070000,-76.450000,0.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1mm",163.260000,-123.430000,0.000000,top
"FID3","Fiducial","Fiducial_0.5mm_Mask1mm",163.260000,-76.450000,0.000000,top
"J1","C-OBD-II-16M","COMTECH_C-OBD-II-16M",193.180000,-71.460000,180.000000,top
"J2","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Vertical",164.710000,-104.300000,180.000000,top
"J3","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Vertical",198.630000,-85.300000,0.000000,top
"J4","USB_B_Micro","USB_Micro-B_Molex_47346-0001",158.635000,-111.102500,-90.000000,top
"L1","4.7uH","L_Cenker_CKCS6028",178.260000,-92.070000,0.000000,top
"Q1","IRF5305S","IRF5305S",170.806999,-80.300000,-90.000000,top
"Q2","SS8050-G","TRANS_SS8050-G",174.890000,-109.860000,-90.000000,top
"Q3","SS8050-G","TRANS_SS8050-G",174.820000,-106.360000,90.000000,top
"R7","100kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",164.150000,-85.290000,180.000000,top
"R8","100kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",176.600000,-87.680000,0.000000,top
"R11","100kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.880000,-83.750000,180.000000,top
"R12","100kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",179.590000,-86.610000,-90.000000,top
"R13","8.2kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",176.600000,-83.580000,180.000000,top
"R17","1kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",171.650000,-113.220000,-90.000000,top
"R18","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",174.840000,-103.640000,180.000000,top
"R19","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",174.930000,-112.560000,180.000000,top
"RV1","200kΩ","Potenciometer",177.200000,-80.540000,0.000000,top
"SW1","SW_Push","SW_SPST_CK_RS282G05A3",175.060000,-99.860000,180.000000,top
"SW2","SW_Push","SW_SPST_CK_RS282G05A3",184.420000,-91.530000,-90.000000,top
"SW3","SW_SPDT_321","SW_Slide_SPDT_Angled_CK_OS102011MA1Q",158.210000,-97.550000,-90.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",190.160000,-108.745000,180.000000,top
"U2","MP1584EN","MP1584EN",170.760000,-87.050000,180.000000,top
"U6","CP2102N-Axx-xQFN28","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",169.780000,-107.790000,0.000000,top
"Y1","Crystal","Crystal_SMD_HC49-SD",193.100000,-90.180000,-90.000000,top
